n_0,R_0,c,r,D,R_max,E_b,R_unc,E_h,v_b,E_m,v_d,E_move,z,K,extinction
0.271356784,0.208598326,0.914353071,0.141764681,0.554913831,0.830188679,0.474770822,0.533664674,0.22241291,0.248653924,0.469051464,0.701928567,0.222042815,0.552395213,0.933854797,0
0.67839196,0.113330651,0.467467235,0.744645259,0.776524821,0.914061055,0.520754919,0.808098747,0.766561502,0.138603361,0.855394818,0.022608481,0.298283398,0.021336109,0.181961847,0
0.869346734,0.940892428,0.626827288,0.231956762,0.059815373,0.203247486,0.151272407,0.310077893,0.718192206,0.867614793,0.041127208,0.404937919,0.530903298,0.057005222,0.737004297,0
0.623115578,0.391010467,0.888692332,0.245860161,0.180720245,0.057340484,0.823386124,0.19558001,0.868880449,0.191954574,0.27468938,0.863753617,0.616221192,0.00430837,0.175143391,0
0.944723618,0.164822481,0.563134998,0.416541653,0.237256825,0.254342516,0.123671411,0.288652948,0.943480821,0.142885864,0.484547464,0.58271863,0.122836905,0.795136868,0.206101481,0
0.130653266,0.470203288,0.94851376,0.992851463,0.991663218,0.545228447,0.519868052,0.274167706,0.521203815,0.75461897,0.31100493,0.891075826,0.934577389,0.424435876,0.392630445,1
0.236180905,0.107916066,0.397327325,0.501294003,0.48593522,0.998153145,0.628768006,0.612802244,0.554291523,0.686161136,0.188816808,0.106796457,0.268643143,0.931426333,0.330277629,0
0.743718593,0.684309187,0.744137846,0.807190031,0.539322843,0.52746827,0.553368358,0.358898722,0.569111688,0.448450062,0.003171713,0.656649602,0.571471124,0.666856064,0.882838722,1
0.618090452,0.701973499,0.99167077,0.916180514,0.683022351,0.614882372,0.777428748,0.512656508,0.502218405,0.912141238,0.709834417,0.938861092,0.968716878,0.595728264,0.953142931,1
0.165829146,0.621194021,0.677955281,0.285041069,0.023475564,0.772357984,0.936091139,0.327282668,0.121987344,0.290797627,0.567847909,0.03429249,0.734084733,0.25049774,0.098599151,0
0.688442211,0.027408883,0.053946147,0.842368719,0.590540371,0.409684431,0.174601688,0.029703523,0.623145726,0.573504785,0.524231827,0.827818361,0.275168109,0.169153542,0.298058485,0
0.08040201,0.29773698,0.808242052,0.389365412,0.113038328,0.456119179,0.315900489,0.054119458,0.046420287,0.699011347,0.292860685,0.573046113,0.422449536,0.862461374,0.384152652,1
0.216080402,0.855275162,0.161234405,0.655322704,0.451361553,0.011133772,0.163684634,0.401151827,0.190704508,0.16821581,0.600115102,0.942730994,0.170676306,0.943871544,0.995272003,0
0.577889447,0.713805366,0.139575321,0.545039176,0.952392581,0.295700231,0.117478332,0.464838955,0.669708178,0.081180909,0.923845116,0.698819608,0.020937051,0.788240679,0.98672113,0
0.738693467,0.741083003,0.444577702,0.036443604,0.29948962,0.950443675,0.251225241,0.118664864,0.971337168,0.613488296,0.339208681,0.096082074,0.835227491,0.129226324,0.304403694,0
0.175879397,0.031759366,0.202259675,0.647479239,0.006634704,0.027647109,0.748897753,0.506078844,0.992326725,0.128917008,0.373359346,0.063776089,0.899509049,0.905433864,0.359520532,0
0.070351759,0.954868366,0.386676169,0.82099282,0.524128927,0.582077378,0.407046536,0.862366043,0.724444078,0.564512861,0.847392471,0.514089336,0.568613707,0.179474324,0.961724288,0
0.844221106,0.007771123,0.851554952,0.428763003,0.705780404,0.30857885,0.763216298,0.657135626,0.589105791,0.034995051,0.072043506,0.149085932,0.957126164,0.155564157,0.191910436,0
0.532663317,0.230924191,0.374917641,0.125601491,0.421085281,0.198979784,0.261423532,0.964924556,0.023704161,0.87136323,0.621563816,0.84489125,0.90348604,0.359131543,0.312964811,1
0.201005025,0.969748749,0.437619818,0.949052668,0.164525746,0.418678809,0.060993285,0.360529075,0.131447163,0.59614719,0.697020995,0.729373777,0.089573157,0.261818021,0.751024744,1
0.638190955,0.756109687,0.228362133,0.837737477,0.375805817,0.946657782,0.271510763,0.241685896,0.303618524,0.366519353,0.490470831,0.660874732,0.518520437,0.845649942,0.162829178,0
0.301507538,0.359187366,0.821404831,0.920754645,0.93041822,0.593807256,0.348169586,0.738538789,0.430129689,0.216554256,0.417341754,0.776465472,0.709207679,0.220746249,0.584827133,1
0.195979899,0.426184865,0.321524666,0.314760383,0.610156141,0.032749603,0.095050636,0.943760564,0.037550136,0.816608954,0.058613128,0.961262346,0.652911993,0.625294596,0.806260866,0
0.512562814,0.52834781,0.483263273,0.674624701,0.071736387,0.330234396,0.020033953,0.044804098,0.492341987,0.302920507,0.800952629,0.970995777,0.78124298,0.333973998,0.081919858,0
0.185929648,0.888726976,0.785062116,0.337229314,0.836490305,0.982984411,0.48415672,0.950786479,0.0068319,0.462194728,0.284458925,0.530850769,0.752223191,0.400898797,0.606263562,1
0.386934673,0.515052696,0.006221397,0.974917313,0.500066561,0.173738084,0.666386616,0.007251857,0.33479534,0.712093544,0.994883641,0.442777644,0.245641861,0.193811838,0.548681559,0
0.457286432,0.651488752,0.091303848,0.150999537,0.403367337,0.156075899,0.994821331,0.641603798,0.909919898,0.892851763,0.663763162,0.437849307,0.001368334,0.923385173,0.742376745,0
0.371859296,0.845268365,0.177380312,0.575579594,0.977458324,0.318493549,0.590732513,0.523949568,0.355618505,0.267787925,0.019680843,0.62143005,0.47085608,0.87758404,0.113282471,0
0.396984925,0.553151361,0.141055366,0.906146203,0.650130404,0.232428128,0.808717436,0.129866674,0.119566061,0.226434833,0.438527634,0.342065767,0.191980571,0.203552098,0.459600278,0
0.271356784,0.8213562,0.113633113,0.201587133,0.629193205,0.904381785,0.031600297,0.989864949,0.213599952,0.726529102,0.445849818,0.376108339,0.806071494,0.096956128,0.141951383,0
0.417085427,0.636143788,0.604582514,0.771912306,0.921053283,0.248461872,0.752214719,0.226463631,0.414442619,0.495567531,0.574088075,0.548055979,0.726643196,0.972023648,0.44989352,0
0.592964824,0.544472431,0.584935677,0.046766007,0.944512605,0.138419801,0.100686111,0.422420705,0.739272741,0.10588387,0.504321579,0.921910781,0.773774178,0.535003627,0.135763095,0
0.648241206,0.910064774,0.660713397,0.988252384,0.852535952,0.866638859,0.946321046,0.237781835,0.656571101,0.535373714,0.651569738,0.255520032,0.525239895,0.616174847,0.645610902,1
0.135678392,0.260407757,0.496063754,0.438790781,0.724483137,0.35559938,0.644088597,0.716722402,0.78299785,0.435770368,0.770935004,0.52842272,0.452559918,0.049488315,0.79236188,0
0.040201005,0.28992052,0.213500583,0.474329005,0.275656067,0.972589789,0.495576428,0.170920734,0.240830953,0.74606797,0.423665809,0.765210368,0.208195448,0.519565307,0.610788064,1
0.115577889,0.362382204,0.818157851,0.698811714,0.136751964,0.163508314,0.722220652,0.937405192,0.689122284,0.760070484,0.512490788,0.832585937,0.357204188,0.387423761,0.620913596,0
0.989949749,0.617530051,0.958386123,0.898224594,0.416979391,0.386410241,0.308959154,0.844670395,0.601137212,0.049589613,0.94257029,0.193279244,0.162235209,0.132664956,0.878585174,0
0.050251256,0.457162685,0.347314538,0.058581321,0.096429554,0.638947873,0.083752056,0.414686387,0.202950914,0.382146881,0.688326425,0.328220319,0.019475303,0.645636627,0.776751463,0
0.829145729,0.091726009,0.405157635,0.355410176,0.126143733,0.146828309,0.450415005,0.571176785,0.463024509,0.416872891,0.553903851,0.054911209,0.883258988,0.033928571,0.285230053,0
0.351758794,0.922295695,0.772162053,0.52577534,0.675351884,0.79929205,0.32950931,0.499583884,0.672444769,0.271686329,0.839276083,0.394480413,0.373441583,0.823418949,0.766264634,1
0.698492462,0.795185585,0.420225377,0.177122425,0.14655768,0.432549994,0.443368287,0.609754832,0.280670758,0.880299849,0.474403634,0.164700197,0.984235641,0.745028444,0.003477177,0
0.834170854,0.865923104,0.415667724,0.789014273,0.460022997,0.575291502,0.847558088,0.679841868,0.820678329,0.39650309,0.585020916,0.790540841,0.304813105,0.113267959,0.925162252,0
0.718592965,0.371123407,0.242389316,0.963808578,0.048709998,0.854891144,0.814391309,0.371730908,0.310042693,0.781559097,0.915779504,0.209044012,0.979479035,0.309923077,0.019678583,0
0.010050251,0.585045303,0.040813853,0.79317728,0.768659156,0.468989553,0.574668344,0.815940268,0.646049831,0.79540584,0.863695289,0.959176855,0.819326896,0.372648049,0.246692163,0
1,0.059373027,0.659615938,0.376321432,0.792766647,0.933791289,0.194787186,0.78557328,0.819765992,0.421375255,0.59842835,0.505770429,0.840464377,0.078149248,0.219388787,0
0.281407035,0.564161118,0.866967497,0.1673447,0.755901859,0.393290738,0.015235978,0.076150169,0.098768747,0.802708124,0.121306277,0.234933581,0.870105705,0.281876471,0.899624314,0
