n_0,R_0,c,r,D,R_max,E_b,R_unc,E_h,v_b,E_m,v_d,E_move,z,K,n
0.592964824,0.320744194,0.958948853,0.316365601,0.665233983,0.411275874,0.212271682,0.057559075,0.253266605,0.853698378,0.578076021,0.03447312,0.969672517,0.474946583,0.470620818,0
0.608040201,0.599056969,0.593472842,0.337885178,0.595369274,0.282069834,0.734131505,0.84889406,0.006039326,0.122421594,0.956644119,0.872598005,0.196328952,0.61936548,0.566362416,300
0.648241206,0.167522973,0.273026827,0.238297416,0.877972081,0.641705965,0.051261124,0.60422123,0.325432052,0.862247056,0.716396207,0.083799017,0.916272297,0.918154009,0.293185019,0
0.507537688,0.361359455,0.641080903,0.686659527,0.937066893,0.316251073,0.846371959,0.566514531,0.679137988,0.309076182,0.090766713,0.170307994,0.63229071,0.418893318,0.644709412,0
0.085427136,0.50519636,0.575741678,0.090129431,0.343834034,0.659473043,0.661286747,0.536655793,0.685310417,0.005107749,0.198494533,0.206834283,0.079002163,0.061956809,0.864829489,0
0.537688442,0.831674661,0.155775086,0.458187281,0.867031152,0.369325087,0.343827016,0.342576774,0.365257141,0.883757029,0.046419068,0.332011779,0.720304776,0.155163827,0.85010221,0
0.994974874,0.795317489,0.342057839,0.502187965,0.059730798,0.52566635,0.91733521,0.06711721,0.469368246,0.064160618,0.883340802,0.886140777,0.511685934,0.780006133,0.077053999,0
0.748743719,0.700037235,0.894575201,0.053598671,0.329564497,0.927312443,0.708056064,0.722659338,0.756043998,0.478739676,0.761220723,0.186237363,0.745665728,0.318988424,0.206598267,0
0.889447236,0.804527176,0.020676276,0.384719648,0.898643196,0.471818921,0.462671173,0.511980824,0.296729735,0.462097103,0.0081239,0.523303363,0.692235936,0.004406242,0.131223968,0
0.788944724,0.537186243,0.536368043,0.494083775,0.491275713,0.494434857,0.565180141,0.639368445,0.134011409,0.717892887,0.843533928,0.041533228,0.405179024,0.872599336,0.695056076,0
0.56281407,0.847684951,0.848050457,0.998962897,0.280065338,0.469101689,0.119464872,0.386529178,0.602792982,0.499077604,0.504844035,0.742332089,0.592366242,0.793587606,0.099781536,0
0.050251256,0.262287592,0.284449294,0.160732428,0.94829292,0.35562214,0.381153534,0.001939446,0.504900228,0.768630121,0.602445086,0.614549861,0.235976888,0.685011542,0.421819386,0
0.969849246,0.408014099,0.938372934,0.62458564,0.244429679,0.505087933,0.896342671,0.287702356,0.93282335,0.180250266,0.419865663,0.148776922,0.869662527,0.825557415,0.726837064,0
0.175879397,0.684067491,0.035597244,0.748344526,0.446427186,0.187115208,0.009854914,0.045568371,0.058007279,0.601039094,0.912398022,0.680486133,0.945320877,0.225658117,0.956868049,0
0.221105528,0.851118307,0.196941419,0.111926372,0.412567581,0.784180028,0.831072793,0.886680602,0.879012377,0.114458695,0.974083988,0.786587882,0.793093491,0.336238451,0.328907585,0
0.467336683,0.302163488,0.512731541,0.630329969,0.919423723,0.720038603,0.546007405,0.241066345,0.177230707,0.489481056,0.102789561,0.72597123,0.984936241,0.279454699,0.351245682,574
0.768844221,0.964573063,0.379463927,0.535144594,0.856003556,0.601314088,0.75461966,0.396765005,0.700991512,0.752775274,0.121624775,0.354111948,0.752200486,0.325807171,0.983634408,0
0.824120603,0.006058608,0.540044834,0.727901266,0.452426574,0.592014849,0.301936825,0.890421363,0.548816224,0.7342996,0.039133784,0.026629233,0.331756564,0.210767649,0.484591143,0
0.195979899,0.222480629,0.613018053,0.87791292,0.573225609,0.611519988,0.58982482,0.263255876,0.414038447,0.612664277,0.599225752,0.265249124,0.934128212,0.180147103,0.183732741,39
0.422110553,0.729064928,0.413917672,0.308224559,0.524107167,0.256914136,0.440178745,0.432075097,0.998498288,0.082400786,0.543568193,0.167827755,0.641840071,0.26623993,0.122753313,0
0.030150754,0.04688954,0.945435341,0.979306739,0.54859641,0.796232526,0.640293456,0.443567887,0.157132158,0.335735539,0.623981591,0.430013463,0.474930623,0.97084326,0.947128957,1610
0.834170854,0.413423699,0.306748512,0.796702055,0.675861042,0.917965684,0.358065536,0.744506523,0.478094235,0.292659418,0.05345072,0.656537924,0.718745634,0.890790044,0.588617157,420
0.557788945,0.778936909,0.160248982,0.705590708,0.365232489,0.511664714,0.935730866,0.073461435,0.726011974,0.641791982,0.676703359,0.001878351,0.207328238,0.042399225,0.769148106,0
0.286432161,0.356326972,0.003573344,0.562962328,0.239169986,0.054560145,0.174825701,0.497136476,0.737554571,0.139057962,0.708280477,0.767150824,0.498005598,0.983321805,0.088087028,0
0.095477387,0.899000512,0.061446785,0.439283397,0.969391796,0.763878107,0.810726647,0.175093345,0.100114129,0.439266599,0.526003624,0.052249466,0.95900118,0.399594616,0.687852045,0
0.256281407,0.232335447,0.355780395,0.189110792,0.191686412,0.046053665,0.744979752,0.821757231,0.246866832,0.212100147,0.552922434,0.578659028,0.065200458,0.602920604,0.389903917,0
0.728643216,0.190862706,0.790251066,0.27307168,0.295835417,0.373894106,0.57969075,0.76348437,0.967115798,0.450932294,0.924897785,0.419494374,0.342275026,0.527774562,0.963152216,0
0.844221106,0.632175317,0.687532713,0.965449135,0.166404534,0.190843329,0.453716505,0.692730185,0.61868509,0.393233433,0.94274704,0.12787692,0.189935841,0.057447843,0.509832603,0
0.030150754,0.244869302,0.255069374,0.55511114,0.736540526,0.124521225,0.953428097,0.876852308,0.913688052,0.948976101,0.323326151,0.59397158,0.462791296,0.664971824,0.445953172,0
0.91959799,0.997956169,0.077884015,0.228847501,0.226752364,0.137072421,0.506718616,0.580111721,0.37090196,0.806527428,0.201436653,0.133637836,0.557203681,0.869971632,0.229054348,0
0.060301508,0.011336139,0.449408182,0.393216847,0.556284742,0.818922789,0.651344264,0.477759831,0.639497783,0.787784757,0.93700556,0.822974027,0.998501125,0.178958859,0.557003021,0
0.155778894,0.949476333,0.970456327,0.602340956,0.202462489,0.090808591,0.259450607,0.370100482,0.823295835,0.388082908,0.966507092,0.567240293,0.549022921,0.966874521,0.789843027,0
0.180904523,0.668464646,0.434153345,0.123635192,0.538357563,0.670616673,0.045033911,0.415677947,0.979418086,0.31972246,0.657255102,0.778194153,0.506819606,0.356063685,0.464553983,0
