n_0,R_0,c,r,D,R_max,E_b,R_unc,E_h,v_b,E_m,v_d,E_move,z,K,n
0.608040201,0.599056969,0.593472842,0.337885178,0.595369274,0.282069834,0.734131505,0.84889406,0.006039326,0.122421594,0.956644119,0.872598005,0.196328952,0.61936548,0.566362416,300
0.467336683,0.302163488,0.512731541,0.630329969,0.919423723,0.720038603,0.546007405,0.241066345,0.177230707,0.489481056,0.102789561,0.72597123,0.984936241,0.279454699,0.351245682,574
0.195979899,0.222480629,0.613018053,0.87791292,0.573225609,0.611519988,0.58982482,0.263255876,0.414038447,0.612664277,0.599225752,0.265249124,0.934128212,0.180147103,0.183732741,39
0.030150754,0.04688954,0.945435341,0.979306739,0.54859641,0.796232526,0.640293456,0.443567887,0.157132158,0.335735539,0.623981591,0.430013463,0.474930623,0.97084326,0.947128957,1610
0.834170854,0.413423699,0.306748512,0.796702055,0.675861042,0.917965684,0.358065536,0.744506523,0.478094235,0.292659418,0.05345072,0.656537924,0.718745634,0.890790044,0.588617157,420
0.24120603,0.146574431,0.494859451,0.779173033,0.106497954,0.334138718,0.993834415,0.869603734,0.039813278,0.038602159,0.694614755,0.846623105,0.830254863,0.429264053,0.708718528,405
0.708542714,0.386326544,0.8564313,0.654993729,0.433771272,0.481357674,0.946781613,0.682373369,0.230361172,0.570275989,0.384258838,0.899297504,0.224674639,0.506722299,0.331376206,575
0.572864322,0.342938857,0.404815569,0.26040593,0.983992327,0.451202257,0.376536182,0.610983509,0.02263489,0.018828668,0.989675241,0.365159666,0.295626091,0.384284962,0.219232476,170
0.27638191,0.253887456,0.873424643,0.677955379,0.841318032,0.637470827,0.089973813,0.649708024,0.48505132,0.272835527,0.618657171,0.851821983,0.392964177,0.195725877,0.996295267,882
0.804020101,0.203787413,0.203608638,0.210460156,0.586725226,0.865192644,0.770736264,0.026465231,0.094681116,0.77081706,0.483389858,0.830277464,0.1513877,0.093730918,0.773721235,78
0.989949749,0.178243307,0.626165735,0.90213257,0.805363778,0.901678879,0.693382512,0.454889469,0.696033871,0.66674481,0.808390249,0.696973058,0.902614358,0.930626694,0.93007859,622
0.386934673,0.882022976,0.902293802,0.662659734,0.025720426,0.083583595,0.243263864,0.784019705,0.014845621,0.698111833,0.113172272,0.628660026,0.879690477,0.587334636,0.168318625,1103
0.658291457,0.647493966,0.827939296,0.830027531,0.134492016,0.960062384,0.278818492,0.73278979,0.499824458,0.19483491,0.161760937,0.398925285,0.808026729,0.106911602,0.620033296,376
0.100502513,0.580859189,0.91543399,0.71855336,0.752593079,0.710640716,0.360673612,0.773854345,0.847139026,0.542669814,0.468257921,0.865784603,0.454673337,0.448325777,0.398166208,409
0.135678392,0.748712459,0.839676118,0.988790484,0.7173425,0.750851298,0.324146376,0.711504319,0.112713015,0.999340764,0.999284729,0.312559448,0.426143195,0.72502293,0.745747588,814
0.050251256,0.215355612,0.462920542,0.371111244,0.619757602,0.732332228,0.801004481,0.540059654,0.2147016,0.72301317,0.754039796,0.583141482,0.283593499,0.756049998,0.888147383,540
0.909547739,0.295281905,0.503496646,0.828115355,0.395525526,0.328786554,0.860659186,0.575861055,0.142518565,0.524808012,0.458800802,0.631685656,0.170894048,0.297339344,0.454842235,578
0.115577889,0.424372555,0.990061673,0.859028218,0.882609532,0.581799174,0.206768939,0.597230249,0.560799996,0.794292754,0.132474159,0.933292761,0.162100984,0.568060906,0.591184984,1420
0.206030151,0.825151317,0.633239889,0.519027085,0.908954442,0.847735306,0.875831099,0.529965933,0.719405163,0.414550065,0.147141686,0.80239853,0.854724511,0.499225089,0.758394119,438
0.733668342,0.151607459,0.786710422,0.203632143,0.827429079,0.701209337,0.616643243,0.857210426,0.310896529,0.828400396,0.153168603,0.443379473,0.314246861,0.168037809,0.897482448,188
0.864321608,0.131432476,0.679887052,0.413185069,0.069575861,0.342430391,0.231488896,0.331192415,0.427596733,0.839068033,0.336839181,0.810107949,0.107320778,0.283920646,0.811253489,17
0.442211055,0.499323225,0.943883575,0.570881961,0.609994426,0.779479928,0.911891812,0.276990579,0.154069884,0.981163929,0.039103031,0.78207437,0.777941942,0.495812191,0.55921768,648
0.236180905,0.037047193,0.504210669,0.874939414,0.954755562,0.616017864,0.159534993,0.108422913,0.213799498,0.376098563,0.742410858,0.668890287,0.233672606,0.123993135,0.17346163,129
0.452261307,0.562809183,0.537402936,0.364607894,0.776150844,0.826082519,0.362656323,0.41364194,0.051804752,0.516702612,0.86786246,0.897541012,0.404334096,0.629034643,0.340036337,269
0.396984925,0.920532502,0.931385881,0.936132046,0.804122763,0.162671506,0.847262845,0.867760405,0.130357398,0.236928832,0.087695564,0.753746053,0.599836856,0.611745162,0.254103827,752
0.638190955,0.522228195,0.562913839,0.738053062,0.287412616,0.786436336,0.627630913,0.19949517,0.087281364,0.504356155,0.049824796,0.15770745,0.284245174,0.732435744,0.929940692,658
0.527638191,0.203905142,0.8861053,0.883456787,0.219432692,0.756237493,0.252949917,0.393203465,0.120592006,0.895844885,0.719724212,0.411797406,0.535270219,0.062500888,0.87615399,1086
0.969849246,0.541625442,0.210973071,0.412911638,0.861432009,0.928620586,0.095178172,0.163606231,0.193564251,0.948350497,0.381504879,0.717337327,0.277061645,0.487247609,0.790081824,179
0.512562814,0.375726084,0.964059003,0.835299422,0.917702557,0.624157971,0.277390032,0.69111392,0.60575179,0.106417624,0.805414877,0.618717733,0.013631691,0.208380456,0.146208604,144
0.793969849,0.105079089,0.811299908,0.515548586,0.434292704,0.411627539,0.998313072,0.651039525,0.543868233,0.725314231,0.987006511,0.656885239,0.187009488,0.512371793,0.888977154,575
0.552763819,0.904430277,0.82646321,0.033677192,0.836919482,0.124824909,0.945159884,0.129351401,0.101832697,0.341990087,0.60809847,0.455745569,0.007272616,0.259613961,0.090157655,2
0.889447236,0.756293962,0.432155961,0.780050029,0.554971147,0.492368453,0.902299401,0.92740251,0.116813347,0.833376751,0.896204887,0.444901911,0.201752426,0.356308305,0.529543407,509
0.809045226,0.99492031,0.783512902,0.231771916,0.066767907,0.540935308,0.839878948,0.626419609,0.780764246,0.794183058,0.412147837,0.584493157,0.333292456,0.367089205,0.864418986,157
0.824120603,0.271794514,0.543204158,0.674148511,0.924427528,0.571293917,0.926248027,0.728515965,0.188601556,0.973275288,0.230911856,0.507010326,0.707725333,0.239344568,0.429070556,593
0.296482412,0.406491597,0.612888303,0.066477687,0.563805727,0.481932128,0.414099682,0.044324125,0.331064125,0.453022123,0.640685275,0.915340557,0.626533932,0.135431671,0.33428732,2
0.075376884,0.859981352,0.984441433,0.502401393,0.364306552,0.860239987,0.554000587,0.891956608,0.179772139,0.85178346,0.39282471,0.99679566,0.600417236,0.991461829,0.491387531,512
0.718592965,0.074082314,0.871741015,0.684595703,0.355782784,0.727104411,0.567698318,0.883412233,0.663631281,0.268395,0.446499377,0.85658334,0.753936759,0.857043237,0.560893587,247
0.256281407,0.253243502,0.447204734,0.474419602,0.531381225,0.810954935,0.810474864,0.904773258,0.509335088,0.018342902,0.35241595,0.798384014,0.111554648,0.07655064,0.645800922,388
0.155778894,0.806569431,0.496893724,0.261014625,0.484520334,0.559095599,0.593380089,0.733473162,0.457357074,0.667758289,0.435856685,0.77905543,0.163133039,0.148436772,0.622163724,217
0.030150754,0.634230295,0.358129669,0.75773121,0.311789707,0.977883661,0.268584801,0.538271745,0.021328943,0.1446523,0.475204531,0.248754464,0.81498299,0.423275803,0.631079615,412
0.211055276,0.728228641,0.486445146,0.331037272,0.742497357,0.220676259,0.772590493,0.231797396,0.031712441,0.085292605,0.318236503,0.864421928,0.615188215,0.987057724,0.574121022,460
0.065326633,0.97685408,0.920651095,0.919581857,0.819128177,0.637860077,0.444005449,0.280343549,0.90703186,0.537916554,0.16769155,0.806001409,0.907357543,0.034473124,0.907432001,864
0.964824121,0.328980816,0.734979531,0.667269304,0.876298221,0.40322717,0.40720346,0.830041718,0.425770411,0.569279417,0.51995587,0.740225013,0.789816332,0.213971283,0.728121681,712
0.673366834,0.61563162,0.59487538,0.532858818,0.262838917,0.730378238,0.640037244,0.496177077,0.090442866,0.758949049,0.420721771,0.824782127,0.392926592,0.373027137,0.82545332,382
0.477386935,0.294763878,0.618081977,0.288403794,0.781262877,0.456815252,0.454204956,0.385990019,0.098140786,0.20516077,0.092312856,0.991105457,0.374178452,0.033859111,0.076186416,237
0.663316583,0.111440491,0.559596262,0.66917061,0.01745237,0.629890999,0.728785935,0.982037113,0.365000415,0.40679057,0.167074923,0.276105414,0.282068007,0.832206235,0.764402001,286
0.396984925,0.547103693,0.999882873,0.843822822,0.649301476,0.437900218,0.941709845,0.471631417,0.754957434,0.464458457,0.3839456,0.753070478,0.621089166,0.909466393,0.587088037,533
0.567839196,0.957305625,0.509269938,0.839148025,0.153070643,0.646104416,0.754386906,0.46142477,0.158280541,0.714050097,0.573572672,0.849807165,0.583802548,0.414079761,0.776070098,895
0.59798995,0.862543043,0.069879149,0.953203126,0.243604261,0.88337329,0.389733883,0.978661273,0.108612688,0.131165316,0.08261869,0.362810544,0.773546696,0.789953061,0.864442974,2
0.713567839,0.848824292,0.844750161,0.046110443,0.83715716,0.469082489,0.745813588,0.744814669,0.520932695,0.177297269,0.033264881,0.871391739,0.127480457,0.507009841,0.221512206,42
0.412060302,0.762718348,0.642968883,0.868999279,0.923334433,0.147700801,0.531752886,0.208925654,0.027809733,0.043039656,0.353080394,0.280819954,0.29857805,0.47498713,0.421209833,1121
0.361809045,0.675467203,0.744679015,0.064448255,0.074314055,0.9137799,0.845510068,0.868963506,0.797997198,0.330190124,0.924858294,0.526369559,0.940623677,0.575957585,0.33325,28
0.798994975,0.724464849,0.784034744,0.648510156,0.724925027,0.745825194,0.194777317,0.844220494,0.147954867,0.557605803,0.076952222,0.938183598,0.556493421,0.881094611,0.857386878,1777
0.994974874,0.064191223,0.606406605,0.30477473,0.707747079,0.987890523,0.995697419,0.784673501,0.707733586,0.060933509,0.845569302,0.165939444,0.723507031,0.938819462,0.989333497,190
0.819095477,0.556808208,0.713389352,0.193754613,0.805696645,0.295910267,0.792657394,0.371964031,0.392139788,0.435673937,0.260255595,0.575119738,0.368274617,0.186034007,0.232894578,18
0.532663317,0.486416981,0.457817235,0.472400621,0.531566739,0.853407085,0.332279115,0.321822547,0.077278405,0.162711966,0.620106091,0.426906698,0.696999227,0.800148184,0.461797167,371
0.929648241,0.799516712,0.793548196,0.387388002,0.468695923,0.343217683,0.699428895,0.833477313,0.333658893,0.723049686,0.891223241,0.663269091,0.094266711,0.451929104,0.453459456,220
0.085427136,0.73129467,0.961448129,0.023597235,0.541688176,0.718231277,0.804150314,0.160772802,0.958103044,0.913591827,0.646138169,0.727881312,0.31482421,0.421520123,0.271340913,5
0.065326633,0.992603675,0.66822471,0.272244336,0.169564857,0.551141142,0.360135302,0.760452638,0.164773485,0.757123224,0.233529801,0.305943354,0.012944599,0.390957811,0.268899263,208
0.376884422,0.387720847,0.812047011,0.264536263,0.714546522,0.507877469,0.342546647,0.405348916,0.170153322,0.018356741,0.86341312,0.216852459,0.405896433,0.949601139,0.5916254,264
0.281407035,0.770334883,0.919002353,0.905934889,0.914881462,0.797750326,0.581308972,0.252766286,0.564026752,0.48035332,0.214129886,0.408332953,0.967513399,0.743978697,0.721540923,885
0.150753769,0.145309746,0.776144293,0.208896921,0.262424357,0.414774256,0.858151448,0.796428354,0.475313504,0.704787464,0.342080123,0.384879731,0.989910531,0.384891973,0.386422612,150
0.613065327,0.565840258,0.887778555,0.23614279,0.975830356,0.694249838,0.038884484,0.391635988,0.358221589,0.071647013,0.007052977,0.221205125,0.004819294,0.608171229,0.838995429,257
0.693467337,0.275334002,0.827846103,0.736698958,0.417755002,0.387253204,0.290419951,0.114950568,0.011091817,0.824764649,0.103016717,0.732445738,0.978487849,0.43065027,0.675466233,593
0.577889447,0.097089692,0.691248039,0.66275188,0.476710215,0.991562383,0.574768561,0.8517486,0.556755996,0.852608842,0.680933344,0.391203669,0.492375015,0.922933397,0.958177276,536
0.391959799,0.803580903,0.421319137,0.052570371,0.426057392,0.349858907,0.935582684,0.354176145,0.257505679,0.796311199,0.177529976,0.617550525,0.455840161,0.679813203,0.429613931,32
0.884422111,0.745050406,0.732894049,0.375453458,0.341046594,0.65709384,0.201261074,0.926036091,0.518823993,0.575877587,0.400260115,0.353795896,0.628481117,0.013241834,0.798528072,339
0.075376884,0.768975661,0.414607495,0.234138849,0.337473488,0.785227451,0.243911588,0.118730628,0.528588415,0.662561954,0.822828488,0.649908365,0.692738903,0.729613568,0.961289293,10
0.261306533,0.121581309,0.558641005,0.545647712,0.539580603,0.820090927,0.845952218,0.018435594,0.769629322,0.918743587,0.135456243,0.160129034,0.608428195,0.570877101,0.485691029,3
0.613065327,0.008850525,0.328743718,0.555772034,0.820809099,0.776392286,0.339409064,0.886259868,0.296118836,0.937658811,0.692681569,0.857508201,0.449895107,0.504419355,0.29376784,109
0.170854271,0.039991834,0.95765488,0.493608535,0.439284549,0.584210785,0.259316267,0.397885128,0.00657284,0.544343486,0.798477753,0.71315979,0.023342149,0.61505908,0.269315432,470
0.095477387,0.026454935,0.767740848,0.503234515,0.416491358,0.894833092,0.809108055,0.260490513,0.902445791,0.094468273,0.788501003,0.148037543,0.008912013,0.5925582,0.529022372,214
0.301507538,0.690593755,0.904081452,0.971467912,0.146039807,0.921564065,0.284183919,0.338502254,0.239069336,0.534251273,0.252927357,0.483250589,0.706210272,0.266653584,0.579937745,646
0.969849246,0.652377739,0.217950503,0.259707571,0.690123121,0.716105394,0.390466074,0.722972495,0.245344921,0.182089795,0.261012515,0.524766552,0.976314933,0.21070864,0.724361062,162
0.51758794,0.619872436,0.794282137,0.035538375,0.963451555,0.255181948,0.607133577,0.121653071,0.351345212,0.715565747,0.278305002,0.600066851,0.480336651,0.348623849,0.560952892,4
0.045226131,0.991914029,0.6446007,0.817559909,0.748503408,0.638590807,0.481876805,0.23603293,0.217871091,0.257173963,0.311070081,0.827854771,0.908126405,0.47020875,0.948608728,616
0.954773869,0.542573979,0.935209477,0.100511476,0.856285069,0.369824512,0.852539224,0.03778659,0.574629759,0.379348706,0.924087234,0.453506976,0.768735747,0.489555753,0.645288239,80
0.854271357,0.609878281,0.821658533,0.920042639,0.805997726,0.941632241,0.513424346,0.841395661,0.930270248,0.455477838,0.563923736,0.808449289,0.046680352,0.532447022,0.255808087,295
0.391959799,0.103736981,0.752887703,0.764051943,0.953651063,0.502979575,0.224895187,0.74456511,0.498259645,0.086224076,0.710576481,0.915156869,0.059651759,0.548165784,0.229481427,254
0.693467337,0.343766878,0.502372536,0.724372921,0.992551949,0.458818487,0.088006316,0.820839628,0.163288641,0.381429297,0.295515102,0.556322376,0.014549011,0.028081624,0.436277387,421
0.703517588,0.05561085,0.969025663,0.150356647,0.467809658,0.69660664,0.500531319,0.566289973,0.372440104,0.150877978,0.842730133,0.367737267,0.886441454,0.074522276,0.37507922,93
0.814070352,0.263084911,0.611647971,0.261976302,0.210287239,0.433724478,0.14914209,0.916566867,0.391947667,0.564455011,0.620761557,0.998520708,0.82795426,0.332279286,0.755356324,240
0.180904523,0.961667877,0.293927913,0.610320871,0.794725918,0.413043154,0.445722608,0.373557015,0.113100665,0.279687729,0.114651876,0.387197816,0.342692395,0.377184562,0.31657398,455
0.969849246,0.385848438,0.680097054,0.325114846,0.629916793,0.235544562,0.966334906,0.16265329,0.206336013,0.722119022,0.700834102,0.787903847,0.513385309,0.784069884,0.930931495,124
0.311557789,0.395910432,0.860431591,0.84813161,0.518667172,0.91688288,0.555450537,0.020984924,0.460963041,0.217121569,0.80314576,0.583439308,0.402461855,0.894297555,0.505154478,654
0.060301508,0.638591503,0.723208638,0.534299134,0.522717464,0.740309065,0.940067761,0.640110225,0.049583367,0.170630905,0.961383084,0.506481343,0.038516006,0.068008465,0.442681214,480
0.376884422,0.572713626,0.980694569,0.734538388,0.052662499,0.604240643,0.389857703,0.440219152,0.220208791,0.230546036,0.320710721,0.566525533,0.950546014,0.569375812,0.764134227,507
0.527638191,0.982434619,0.83218231,0.69260656,0.300671692,0.523155195,0.451122985,0.718694926,0.035204127,0.702080362,0.025864818,0.498931186,0.426798996,0.099044095,0.920972619,925
0.763819095,0.48599973,0.527451894,0.673702785,0.91762772,0.756424632,0.647386901,0.36018982,0.269991339,0.129461678,0.835625489,0.597155405,0.84969114,0.042362105,0.608431643,562
0.91959799,0.251012977,0.407319319,0.629391053,0.64161402,0.88202164,0.791065695,0.50096,0.542861596,0.616082385,0.249297749,0.864294304,0.915861932,0.995877344,0.586007231,381
0.72361809,0.95408574,0.815533394,0.710957962,0.656682088,0.689432494,0.536371943,0.86027894,0.308901985,0.80263732,0.031070503,0.57034486,0.133916627,0.905003722,0.827102154,1397
0.331658291,0.244975543,0.3561059,0.199493862,0.986470528,0.765830955,0.731508445,0.704676532,0.414864163,0.602608734,0.811159938,0.684526263,0.960776091,0.774463439,0.872256164,117
0.572864322,0.558493755,0.871404294,0.5569782,0.063584751,0.550098746,0.801261241,0.828172321,0.729427403,0.264946308,0.102821628,0.461417143,0.717396765,0.251112375,0.94032709,342
0.005025126,0.006475126,0.35465988,0.392347157,0.413660839,0.682034821,0.668829592,0.18885416,0.291650106,0.662897168,0.016786248,0.859305032,0.39561403,0.416164053,0.746716126,542
0.537688442,0.624474284,0.809389376,0.776251002,0.729747509,0.609929917,0.081693929,0.213506374,0.374048666,0.799874431,0.305439562,0.583679221,0.926611393,0.20567429,0.351345048,403
0.391959799,0.313472706,0.905006646,0.644147947,0.689552148,0.742299957,0.814895947,0.372092996,0.052890137,0.31551971,0.763171501,0.387070776,0.269311572,0.151161635,0.871463688,445
0.361809045,0.389151319,0.101536257,0.858859235,0.991685535,0.72616379,0.632056293,0.98227431,0.097748067,0.730788712,0.190295605,0.824071273,0.747923174,0.594229322,0.865999229,624
0.055276382,0.879705618,0.368354786,0.43732051,0.92523437,0.462207506,0.584925274,0.466049003,0.276187113,0.813666173,0.424123242,0.548119239,0.096571545,0.862917831,0.489663117,90
0.376884422,0.527664417,0.702996493,0.768175059,0.930208304,0.822902578,0.784673526,0.169475259,0.752426111,0.365163555,0.026985555,0.185786947,0.973274419,0.873609596,0.39092035,568
0.326633166,0.513102215,0.56547102,0.206704319,0.050595402,0.454234147,0.893679614,0.693581215,0.422353947,0.099108693,0.49579722,0.399950489,0.17232373,0.368978858,0.543602076,124
0.809045226,0.879713441,0.82847242,0.366174497,0.085472031,0.657147514,0.022618553,0.569294007,0.720935501,0.535016103,0.188292735,0.575871993,0.545813489,0.983054014,0.350139011,0
0.266331658,0.559260127,0.982795687,0.281795014,0.872410642,0.97404878,0.402323088,0.179107444,0.243370437,0.891039948,0.090958961,0.770838273,0.082913079,0.792072886,0.128431689,388.3892216
0.442211055,0.117783105,0.708321332,0.820113149,0.748813314,0.466606433,0.874605281,0.793130659,0.004897851,0.694057773,0.660227994,0.09904204,0.853107711,0.746056419,0.813175675,369.7664671
0.728643216,0.956761261,0.763269261,0.093796445,0.197817056,0.773394444,0.156829423,0.711256452,0.14444385,0.969393521,0.027180302,0.7022642,0.940900551,0.365634725,0.156587012,0
0.487437186,0.872193593,0.958279284,0.605381738,0.115248576,0.948485153,0.102199464,0.827937782,0.825582801,0.17133653,0.060609637,0.229856727,0.837560147,0.235393748,0.632693294,31.90419162
0.271356784,0.466008841,0.951230883,0.779755647,0.875528662,0.891418908,0.07594365,0.523699877,0.300978431,0.779825567,0.278340593,0.876518638,0.121935986,0.894673726,0.703261702,958.5548902
0.587939698,0.080959759,0.945966403,0.994686969,0.713645149,0.189849673,0.436344202,0.305752135,0.023226094,0.409945029,0.151899728,0.535025373,0.353148337,0.816659492,0.57996943,1657.041916
0.311557789,0.014175083,0.426482429,0.242723329,0.010829005,0.690122873,0.347294435,0.412989994,0.234725768,0.362676914,0.774711495,0.519424888,0.714006055,0.216584299,0.979492048,146.3632735
0.296482412,0.491127994,0.791802984,0.398393148,0.206817713,0.483480271,0.54346633,0.193065069,0.231685603,0.11023042,0.985268179,0.795097762,0.232598722,0.114118208,0.80483668,383.756487
0.763819095,0.774002332,0.876717417,0.94698088,0.116186714,0.505239539,0.574559713,0.162603288,0.175118333,0.611940357,0.937309335,0.789489841,0.061606286,0.495486138,0.429258282,623.0159681
0.045226131,0.109664297,0.458749239,0.31498436,0.845275702,0.640795884,0.590011479,0.633629663,0.428174031,0.877952663,0.573984256,0.374813323,0.69444118,0.037759211,0.660090404,237.4251497
