"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",15,3,0.49349512653898,0.00144181713841506,0.282001439791638,0.796069870386273,0.416611877323594,0.00807263135179834,0.87085588148274,0.0809638100952655,0.0352763413208458,0.00483133574935089,0.990529358592531,0.00947064140746884,0.0640658963405469,0.481361473021232,0.454572630638221,1344805.74484309,2551091.74098121,37416.1582342349,1.92170540148392,548.653247727081,-0.00077022547339322,158552.828488027,0.744519479670562,0.00764729444087483,326.362411985546
"2",23,9,0.520821165237739,0.00222230967428652,0.265882658795454,0.947412499261554,0.764867656233255,1.09422165217695e-05,0.742609251795134,2.93493538241366e-12,3.259349611595e-06,0.257376546635797,0.994279911755774,0.00572008824422606,0.750616403711289,0.249383589063386,7.22532483753186e-09,1280495.16487587,446388.031574897,9828.44222616404,2.09570204931078,1549.79257227294,-0.000504877888550982,28311.2613882986,0.939012178280391,0.00424459362738067,366.98721204917
"3",18,21,0.710145136806625,0.00115745484927902,0.607268777238205,0.916223908048123,0.781974419697653,0.00346780431326865,0.0195519416056765,0.00974035082217671,0.95142376621892,0.0158161370399581,0.537225075754845,0.462774924245155,3.16482031567383e-06,0.0503591834614759,0.949637651718208,1121981.72924761,688803.634049837,69929.544405546,2.69133801639779,1991.67837676778,-0.0001152785599255,150451.921210624,0.703942471884657,0.00836746716350666,338.035724527482
"4",7,43,0.576381574247428,0.00104426438618801,0.438965050578117,0.675532704130746,0.682479030995164,0.962002536689133,0.00117232265792538,1.14517825763323e-11,0.003741362492894,0.0330837781485954,0.336983315496757,0.663016684503243,0.000686133242010935,0.45867061819611,0.54064324856188,298592.575462069,810914.00251491,95115.2779776603,1.48920534991892,1506.22688357718,-0.000836375552553218,71543.7158943678,0.34768100920599,0.00446902641029097,255.451446084911
"5",7,26,0.208415648097964,0.00195509977331152,0.0593749643932097,0.519731864528731,0.197590230742935,0.985652275919089,0.000440704637200769,7.4150107496862e-14,0.00982673331501978,0.00408028612861656,0.102019740594039,0.897980259405961,0.00118902389172371,0.489197333105276,0.509613643003001,1235675.59908796,1896739.4451052,7765.12030651793,2.14057454069844,2281.83476836607,-0.000765927354299929,69598.0304344266,0.234304738047067,0.00525645938747329,168.694022629224
"6",20,15,0.136543053364591,0.00130511870076763,0.979396627210081,0.906225675116293,0.737840545813087,0.476483956007283,0.382403494361398,4.58012437777348e-05,0.0176993939943087,0.123367354393232,0.999972452722435,2.75472775651101e-05,0.265596087206568,0.721653339571513,0.0127505732219184,973533.333142754,1182546.51861498,96014.2089165747,1.54964073250536,2304.79561713152,-0.000658607039977796,156594.193820201,0.2144037388172,0.00861775642571738,45.9625159644987
"7",25,16,0.245965848228917,0.00244547128113802,0.94844651583815,0.645364676618483,0.375817412878387,0.0714656844571484,7.461129232201e-08,0.205410064098846,0.719844866890557,0.00327930994215655,0.146925567499605,0.853074432500395,0.0456161048562882,0.889290752618412,0.0650931425253002,1098049.77477947,2816684.5460725,22065.9633174073,2.39536592199467,2052.90236358531,-0.000804252739427611,17480.5841251509,0.384849710669369,0.00730311346121831,356.814883871097
"8",44,37,0.848597089846153,0.00124102309161564,0.918832049591001,0.470098941931501,0.336402929755859,0.032888753287034,0.927666724105482,1.32541526600912e-12,0.0393237105718796,0.000120812034278523,0.894233979628439,0.105766020371561,0.612429729488337,0.387568406808922,1.8637027412676e-06,598424.523468129,2963746.30346429,52670.2285695355,0.7694523776602,2484.12436500564,-0.000530734202666208,51767.362808605,0.0131924582901411,0.00485476071779034,140.642427550675
"9",42,21,0.972303507310175,0.00146246205820004,0.877198333384003,0.333114907578565,0.988158795859199,0.891684480883694,0.107314620769341,9.12584696582654e-05,0.000832417821242873,7.72220560642732e-05,0.518249689016295,0.481750310983706,0.0116747793894921,0.88390426421591,0.104420956394598,1374164.6820372,1474642.32919738,27106.8418773357,1.3989519361523,2491.6485502664,-0.000709226472266018,194970.238587557,0.481777235968038,0.00493621307174209,320.29659084524
"10",5,22,0.110005745975161,0.0014721437218762,0.233915955647826,0.0437699525756761,0.0975668616197072,0.999710689741391,7.25825681082418e-05,2.69483951743084e-08,0.000134918595111908,8.17821469935201e-05,0.999590983032912,0.000409016967088429,0.0310703155270281,0.968638751042015,0.000290933430957054,133758.637764025,1655577.10912311,50703.5933842417,3.72213057402521,1612.74423503876,-1.5703304016497e-05,165968.464032339,0.569060319690034,0.00528354159514536,129.477735436521
"11",10,34,0.163199391333456,0.00149639298719238,0.0386243586498313,0.547166938942391,0.996237757490017,0.963255905496229,0.00055985166027577,0.0337162262310193,0.000652211423143279,0.0018158051893322,0.956191555121815,0.0438084448781855,0.161875969015713,0.825102389465768,0.0130216415185187,59771.8439362943,1037539.75533647,32842.3433240969,4.74509540275554,579.687176566571,-0.000427169427855406,88493.323957955,0.923714551876765,0.00217569330989267,77.4245915102307
"12",8,9,0.0383791613014182,0.00175088095187442,0.0660204429761507,0.157041242811829,0.918247720238287,0.329150785659045,0.623850829429083,0.0434074333386521,0.0035909044141727,4.71590468749922e-08,0.909692816548058,0.0903071834519423,0.216859430984412,0.663916808715747,0.119223760299841,615686.250352766,1201237.09997395,26878.2108717132,1.7928141505993,462.318877473474,-0.000966798003599979,196619.668367348,0.317077310986351,0.00841587675689603,61.2714936872944
"13",32,1,0.895773542914307,0.00243744630668662,0.137659752944019,0.29633101579966,0.886373773396481,0.929389807793476,2.08699438583715e-09,3.0659007075223e-11,0.000735336683067707,0.0698748534058026,0.999999979121888,2.08781115758522e-08,0.00277753930557747,0.61965551438256,0.377566946311862,574277.960846666,525116.312415339,21298.7362856511,4.50545230605057,637.252453876659,-0.000294699414104689,87034.274423786,0.849937221240252,0.00378820005624322,357.192381201452
