"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",53576.7467205997,277813.287523642,516950.654667821,224540.705201441,725307.746771119,381640.45168715,10119.5989466954,209391.581421286,191061.756845979,173275.34001794,130875.78471641,-34807.2057022361,98637.6884896943,-24103.4091180858,-20832.5077552178,-17440.7234955701,118867.427994403,103144.390266211,326948.521480253,83607.7927327101,194156.646044166,175315.066455274,165822.293262674,161538.392861593,539260.385377701,223825.257644205,123427.016545566,156511.877267659,278501.197918791,103266.879638807,-10848.3779368374,33958.7751513585,434324.210893274,178005.079988004,403241.848919771,67343.704548551,618071.581558741,807916.52131508,401879.35565446,166068.193299824,249396.615197992,152151.290689584,355981.425554564,282042.008654264,383269.265853825,538276.46157695,352751.941605534,542174.224317762,458872.948141315,615992.050403826
"2",-541368.101853421,48765.4242384929,44603.373743898,16829.2386178337,15637.1513793194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2858620.97104273,4349979.56829897,6046100.91435431,7091983.19241728,9783498.46756946,9978507.13934516,10309829.8101651,11242956.5514536,11792401.6151502,11529523.1411327,11686940.750272,11706118.6281309,11729907.7260921,9972063.45934807,10115639.7106358,9209209.99050167,10637192.313137,13432852.8682481,12716297.7385177,11261487.3463861,11628736.0960589,13010780.175308,12567360.3057989,11730957.7299819,11041808.9020406,11897192.5356228,12136099.2132471,11049246.954004,11483145.3031899,10239581.9193504,12062640.4350948,11599896.8567761,8729766.46970971,11284642.348747,10437101.158537,13188290.8233378,8985297.53688329,9929183.54233039,10581740.8726164,9994296.00134331,10631368.9069466,10758624.5365095,11143192.9506539,12002169.1566352,10727757.1609065,11841869.8375494,10878078.1730606,11831201.6479959,10774958.4901386,11791709.9313634
"4",-31703.8076096919,29035.318639916,-41861.1583701849,46646.081917671,153626.874668542,165607.990914344,226534.400655769,196670.316205929,226903.451811043,215147.901312183,371309.009018888,388515.453058475,389972.050835202,241078.840529522,256126.580383729,151165.59507497,361181.805820065,428811.978348888,581300.702803545,66414.5601920725,378626.765897211,415859.182302834,272411.294290302,491222.999083428,475780.372204683,246976.505457242,275069.830700968,237743.45400984,143545.326877143,525017.681102037,86541.0465600264,82460.2086428485,-26154.8971858197,269477.951773118,62479.8360638478,177632.819147789,184478.737581607,472729.120355506,441802.854176758,372774.122852191,373376.431408806,572009.814422547,283018.2756501,383470.499297009,343581.810926999,220554.155129439,266236.196984987,591301.842815689,131031.645264626,258171.327281945
"5",315037.51390373,5188545.23480705,13523555.3675207,17168212.478517,15513347.2399527,16992830.3521603,17134260.9580127,16576173.1940142,16609283.4212856,16395581.0926926,15847317.3222188,16179279.1872502,16882837.9752659,15549979.4061903,15988627.0963191,15496637.5550495,16479398.4319123,16707255.706754,17417940.2165634,16830833.9345675,17231069.757749,16557718.1647208,16125525.8067734,17058305.7879236,16131071.8559302,16871178.0280594,17020595.5520352,16277953.348414,17066320.4304683,16150023.566293,16354318.1073681,16807548.7791172,17061416.8519952,16441855.1736016,16724428.9641623,16150313.6891575,17294069.4562435,16611552.9792018,15954882.6200974,17573176.3177811,16204674.5699489,16471130.1523377,15735481.1177624,16728264.5222623,16883218.4714659,16905233.0432926,15494019.1476466,16734691.3948549,17538321.5363973,15686642.3384183
"6",8575569.98653925,49067076.6984366,101418304.585124,124220865.845164,126072453.53606,123346557.683226,122369655.386974,126654724.10974,125333340.072712,125946161.550856,122800815.194442,121803882.522691,124063833.930129,123666270.032716,123412124.427699,128092432.003218,124895491.083032,123828227.856061,124964800.436168,124199030.550191,124261201.490361,124460505.873123,128728583.924765,119362093.405355,125676542.573847,125668890.39911,127328834.365832,121557272.38846,125685751.65423,126890828.880938,125619754.676445,126008221.705331,125835494.627068,122130441.080287,124229733.858992,121869118.05899,127947994.604657,121942765.562729,125405512.576451,125070594.473875,120713433.102101,123967730.86671,125509830.402373,126124534.199602,124842210.525492,126602694.412364,124411294.041831,123763231.666086,123600825.436052,124187664.520925
"7",-916406.088176652,-69189.3586036579,-163541.377178825,-86174.1285104598,-143460.686646825,-100584.894690331,-269509.978995741,-87581.8800407235,-194774.647989002,34018.2821781734,-172809.371503114,-206431.899146327,-206374.662429948,-141323.4363933,-185952.064632416,-130502.272460588,-169814.483744164,-31664.9439307338,-67541.0056757727,-298551.271219209,-79470.1321812083,32007.025657672,-66269.2592176265,-221278.745501293,-137100.671127905,-11488.3354322883,-48281.7613402636,-82028.885336053,24535.5798827043,-130465.339650321,-29620.9004198358,-143265.256730863,15952.9183470905,-112687.564498075,-326295.314464593,-181811.943069806,-166739.247448741,-182719.91300381,-222570.350500294,-20334.5792026732,-28233.7633256798,-48216.2917070585,-40173.6961833801,-161917.929789605,-35718.1105780448,-21410.0405499608,-330684.642754526,-214134.236585918,-87230.9662564706,-100765.175466255
"8",-8130.13376790626,-4292.54166738299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",12734888.7534355,28450674.9588342,39366548.7356765,47731494.1401999,57441234.4265575,65116007.2071457,72733095.3642277,72704788.8605707,81994881.0274152,75264699.8241359,78795965.6863354,77826905.2610058,75054018.5660823,76529770.0309631,77504832.1168446,76813673.6228325,76228749.7106089,75636175.6571938,76246785.1518089,71683841.2230467,75427174.754213,73315889.8083784,74745131.6242235,80662916.8784092,75249533.303032,74918932.571844,73570809.077989,76523335.039585,68387709.2894461,80901926.3443264,73415013.5559937,77537372.1395567,73611702.1891579,77514795.1627269,69906979.8901743,76289132.9537569,72113375.7947501,78877336.6442538,74289813.1463833,75256656.7265957,76230191.876968,79366717.2480921,74616967.6567744,79658671.9359064,75234796.1268048,77703240.5615685,74161051.4004209,75122251.6616694,73676901.4882866,73865901.7129205
"10",2117190.26225884,12391570.8726854,14758492.6260341,13425223.8141651,13198214.3650809,14619789.5489622,12728850.6233178,12955182.2784526,14222286.5976122,14146558.9173777,13416183.7925946,13394115.7530398,13442147.3919856,15062841.4545028,13390224.8920118,14435583.2209416,14679019.134715,12640786.4016115,14324653.3097888,14400459.6878634,14448521.3942631,14693057.3953513,15901341.7207151,14178884.5411693,12899326.5613125,14994539.1903266,14250289.1298135,13910578.1874306,14105497.76764,15409939.7247501,13337152.9442129,14403540.5220101,14525469.5052909,15031455.3294664,13307869.2021287,13888124.9729105,13821429.6413483,13912608.5331548,15318691.627931,13604273.360474,14439710.9937346,14663375.3629059,14886039.0034615,14797072.6003011,14482649.3008133,14414740.1937131,15206469.8857853,13468653.3366826,16449134.3404397,13507343.3142255
