"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",154195.717287218,157883.633640377,158149.242691538,157860.448981792,157873.803907345,158031.430995556,158195.52021413,158286.146580755,158200.648931792,158330.755040743,158334.864079213,158463.669132041,158462.503457395,158339.044776595,158487.058273293,158337.331113239,158261.611566031,158374.371278993,158287.059930536,158258.359814227,158149.329759402,158221.424824411,158376.219497877,158248.887645044,157936.348992069,158101.25672768,157977.423450964,158226.866539546,158279.267737928,158386.495601519,158042.349935709,158237.270599365,158250.424900762,158045.886296865,158061.140441725,158146.532734177,157958.115559368,157855.283971314,158176.212769868,158358.580600698,158298.286059185,158289.948720845,158048.901720929,158241.35878149,158075.125083804,158043.996405353,157810.317301289,157818.129338664,158052.357786527,158098.022131503
"2",27741.6639238361,28167.3555849231,28243.361427467,28289.2313132052,28297.5269607846,28308.3430555154,28310.6414795529,28311.1297164469,28311.23342089,28311.2554479729,28311.2601265638,28311.2611203043,28311.2613313761,28311.2613762081,28311.2613857306,28311.261387753,28311.2613881827,28311.261388274,28311.2613882929,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947,28311.2613882947
"3",146809.176109631,149482.28683894,149184.29061258,149004.712914492,148578.268106571,148328.592246046,148382.44888875,148311.803227954,148194.477142071,148212.468327823,148217.89692762,148154.603545381,148169.689861957,148389.771093222,148449.699520041,148509.139475351,148373.392304519,147952.546521063,148017.842314177,148076.388377518,148039.195656038,147875.373769576,147767.310427615,148133.236930759,148060.249846835,148151.89756535,148093.916619506,148081.154414045,148178.963159557,148268.965897277,148234.695419882,148199.219789299,148402.746708316,148230.261185366,148480.230992734,147993.913918982,148460.574720477,148472.212361446,148412.357750983,148416.248274978,148487.300990286,148201.389430691,148233.039503918,148038.790552786,148103.992826501,148047.192273622,148194.551130689,148101.464438175,148057.462430485,148192.423116056
"4",52233.7482156017,66521.2998891881,70265.9994157409,71021.1118704603,71186.3342857648,71256.9913368681,71233.1947932116,71294.7010958508,71195.5111732431,71103.2801067293,71175.695918118,71140.345402389,71183.5130524323,71245.4672305091,71200.9358530816,71254.8911467053,71266.9565905375,71185.188397891,71139.051100665,71164.3478922168,71187.8082803733,71244.2180079346,71247.1784377881,71177.4624226105,71218.4565224033,71229.7041164858,71249.4371817495,71218.5399023984,71288.6150854543,71215.2240162448,71243.9008601107,71250.9555016282,71262.2679900364,71193.55476358,71282.6842069076,71282.8549958101,71197.8622615038,71112.9419704665,71110.7690067766,71136.5733980639,71188.5539848681,71113.1373536747,71166.7022732991,71173.3739391764,71157.8224890251,71248.9942779067,71248.5641280276,71170.5925841563,71201.4857907049,71155.8776636491
"5",46653.5253960362,63460.9978826807,65538.6025385768,64822.2617552975,65025.2783088087,64857.4649541044,64773.2145162991,64826.255508077,64768.0723613995,64828.0255090515,64879.3124050975,64885.6230928667,64726.0204748124,64937.8509305276,64915.2246753344,65004.3640725192,64915.057259817,64839.786743239,64661.8948989038,64765.1454503982,64704.274366961,64775.835778889,64771.186618827,64677.3396067008,64677.4666875274,64666.6276956268,64594.1760457878,64875.166855567,64702.2271101927,64827.0618905431,64706.6136721404,64621.5512070698,64679.3878251486,64739.6143983754,64665.474911873,64763.851665778,64557.5710432009,64676.0351666877,64863.8287390655,64655.4017929869,64777.4751698027,64783.8379964302,64800.5469175546,64696.6930479705,64667.6660517445,64644.6835676994,64954.5523745659,64867.4562526709,64631.6106377906,64846.0791287784
"6",132668.265840782,149470.953725603,144557.242144004,140753.315411485,140632.339831585,140767.680807926,140531.548940565,140305.830355248,140273.221457641,140401.706752173,140612.727568938,141077.81720076,140296.109035868,140310.834465499,140722.638163359,140352.623249842,140096.440484062,140515.816470088,140318.607114871,140614.963431241,140557.655157486,140611.772360717,140051.462535639,140799.089496531,140233.399831861,140154.770061369,140025.487585715,140794.741702131,140530.857902773,140285.608784094,140160.806858694,140435.802315823,140398.023978817,140752.713197764,140228.377780183,140840.332644162,140105.931589786,140458.982620664,140415.975107035,140469.91449022,140597.780504339,140410.713856959,140372.042808713,140339.67872249,140199.337204026,140539.083052871,140486.029593745,140567.35184078,140444.644454025,140360.671014251
"7",15595.0572425888,17319.7038033159,17418.6506904184,17437.6207322099,17456.1593448177,17448.3163838072,17429.6280080116,17458.6436440185,17444.9975146884,17459.0229018977,17432.2046377588,17447.1487415773,17441.7863130619,17446.6060436718,17454.3954870357,17460.6471665454,17458.6441337582,17477.0528789497,17474.2382281523,17438.8484108885,17457.9919160058,17471.7733764365,17451.8504648621,17436.0292737526,17463.9504679622,17476.3662147625,17459.6934343068,17440.2926246985,17460.9865163046,17461.7841989872,17470.8840599399,17451.4018813699,17469.369717798,17466.7220199176,17449.918566848,17459.9695311157,17445.7587752716,17440.1483011396,17423.3905085296,17439.3463748467,17462.9487131097,17461.7026145975,17455.1101768696,17443.8565841846,17459.4715397902,17450.4516490742,17436.8090827258,17439.9626961884,17434.8722649917,17462.7228087097
"8",3756.6624506055,16316.2445177809,37804.0393351361,48708.9579983957,51220.6406557398,51673.6010100787,51751.3997966288,51764.6484854983,51766.9013678161,51767.2843655079,51767.3494736726,51767.3605417358,51767.3624232488,51767.3627430964,51767.3627974688,51767.3628067122,51767.3628082834,51767.3628085504,51767.3628085951,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977,51767.3628085977
"9",162819.168984905,184650.499285574,187737.880935703,186994.815269026,185488.679859522,184155.518732336,182898.953848268,182293.907018217,180688.67757437,181860.27429107,181137.043900822,181093.914285967,181360.42649097,181542.006380022,181182.306175292,181247.659216574,181403.177854532,181456.474093259,181412.901758208,182076.597924763,181672.191065984,181988.572570972,181884.088680924,180797.933010082,181491.834282701,181806.532113086,181882.816716756,181612.560089678,182570.455807247,180888.785754508,181775.437902604,181139.42153564,181687.017106858,181452.650615429,182508.822509658,181750.738404017,182468.776688998,181573.743628335,181962.950168194,181485.72983951,181479.02276686,181206.444920503,181440.061354032,180983.952991205,181534.564657122,181377.365265078,181561.206267236,181708.091761477,181996.516106755,182002.472147098
"10",148405.773853982,156844.661151172,156963.301715925,157215.395795493,157276.378451817,157340.446399731,157254.511305643,157276.193723245,156732.978737532,156222.369302032,156563.041884797,156631.327436914,156827.178160298,156226.205965848,156668.324095467,156879.309975208,156371.625810294,156636.629469188,156344.954550044,156229.241714948,156458.755531583,156805.609207327,156344.122282073,156755.981838133,157311.257768644,157268.89012609,156785.335404079,156808.000085534,156705.129290198,156468.290771233,156681.099070507,156294.350840925,156746.583479143,156670.797907589,156575.582786032,156513.104922179,156684.062613572,156648.670608765,156389.625049484,156685.240698461,156583.482385094,156426.525531847,156365.243841272,156694.716877973,156349.007615445,156501.478491836,155956.631779466,156401.975974075,156063.982960646,156660.566440636
"11",83600.7318622511,82189.7864785572,82303.3972774256,82088.3339423785,81016.9362887846,81709.5312150166,81956.4832162548,81673.16046128,80849.5394768123,81052.30944021,81857.7434807186,81966.0996360294,81988.959627398,81705.8337295814,81231.1863411531,80147.2622339453,80680.1451150569,81380.2544523231,81427.4496173873,82020.1648048918,82601.8694714083,81897.6024159534,81280.8742019826,81698.7046352971,81550.7428632395,81475.2118608828,81273.8662295313,80708.8278599789,81534.4247051551,82088.4449225762,81309.9733552977,80923.7152434657,81061.9817146594,82009.400787491,81462.5540671945,81582.7547753137,81621.5844636715,81266.6101259387,81400.915545031,81572.4077228863,81262.1968932777,81457.2017348487,81980.5642450731,82417.2887938715,82034.1468898258,81826.8473560399,82270.533757451,82497.6660217751,82190.3408702561,82308.9791991123
"12",176834.093401125,192427.872432209,190369.726997638,187243.61545014,182700.504923936,179676.540040092,178328.375699367,177344.270156437,177372.41408673,177139.212996269,175050.174017501,175586.644051519,176284.168176383,176932.947827803,174716.93902746,176261.155863145,175322.732177326,174687.549799463,175718.299354407,176148.370673162,177640.9258695,177427.248799136,176416.739479032,176174.31232594,174362.728591438,176442.448268594,176804.075229561,175446.503337989,177210.181116335,177555.514898839,176853.130252997,175580.237020847,176733.297662509,175575.931538801,176824.04037487,175282.355146385,175659.366685521,176654.172751788,177748.387886182,174247.90426585,175578.319320569,176938.503532748,177118.098690814,176045.507419365,177232.598959299,175695.516754417,177033.609417773,175389.729795883,176067.57079916,174926.982197045
"13",81768.9576250131,85459.5843363725,86501.7972392811,86803.318639601,86934.4078296481,87009.196119628,86994.4174882508,86973.0886594429,87018.9146535571,86913.9448017829,86910.5767335456,86986.6738325747,86930.4363366006,86942.3936212928,86957.2905104594,86972.6328338304,86983.5290550284,87021.5367366555,87031.0781627267,87033.4724535642,86982.1411842198,86964.8387249531,86959.4583146835,86969.0773390194,87017.9071351529,87030.1672604307,87033.2438920278,86945.3540823232,87011.6895689131,87028.6067377496,87032.8523208881,86962.2184327258,86973.2557948953,86977.4223359973,87020.0031380826,86874.9355698215,86905.9177587761,86873.9958549883,86853.0009172361,86961.0902043258,86948.1714514509,87012.6549400691,87028.8490434429,87032.9131216661,87033.9328664157,87003.80015813,87026.626355092,86959.5827414682,86970.9185678413,86938.8178473059
"14",36118.5488051774,38967.9971941945,40053.6772393656,40386.5770408358,40519.9021722397,40558.552023474,40601.8954767991,40586.503572324,40614.8556057748,40592.2823337424,40577.4494395551,40562.214579067,40606.5087783607,40616.3334825207,40606.8758594487,40626.0129442651,40604.6370783717,40572.5858704868,40593.2438592462,40592.707415014,40611.4233392033,40608.8919801423,40607.0352801475,40610.843555445,40630.4088833229,40615.2292130468,40597.5453144639,40602.6569036664,40601.7034867596,40584.5528079912,40589.8860006616,40594.1155871445,40581.3057351623,40612.0986834641,40575.3330234424,40580.3679717372,40585.1252343757,40540.9656484021,40536.7189065212,40551.8035887286,40532.9094336812,40554.2968780261,40598.9673314375,40603.765733509,40597.5344647891,40577.2814228767,40569.9395925938,40563.4308229525,40579.6319166749,40575.5154000611
